Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,-0.53345786,0.292780494,152.15,137.264,-43,ONSC
HVYWMOMLDIMFJA-DPAQBDIFSA-N,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.500753652,0.315679477,386.7,413.096,108,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,DKGAVHZHDRPRBM-UHFFFAOYSA-N,OC(C)(C)C,-0.498940738,0.317,137.14,123.384,247.5,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(C)CC,-0.495846391,0.31926669,212.12,161.76,-76,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,-0.485452247,0.327,180.16,156.888,287,ONSC
ILUJQPXNXACGAN-UHFFFAOYSA-N,O=C(O)c1ccccc1OC,WVYWICLMDOOCFB-UHFFFAOYSA-N,OC(C)CC(C)C,-0.494850022,0.32,152.15,136.224,-115,ONSC
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,OC(C)CC,-0.494850022,0.32,201.56,150.656,-66.5,ONSC
ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(cc1)C(O)=O,JSGVZVOGOQILFM-UHFFFAOYSA-N,OCCC(OC)C,-0.493800762,0.320774058,152.15,136.952,-43,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,DKPFZGUDAPQIHT-UHFFFAOYSA-N,O=C(OCCCC)C,-0.488000001,0.325087297,236.26,214.384,126,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,BZLVMXJERCGZMT-UHFFFAOYSA-N,O(C(C)(C)C)C,-0.469928581,0.338899883,180.16,156.56,287,ONSC
CPJSUEIXXCENMM-UHFFFAOYSA-N,O=C(Nc1ccc(OCC)cc1)C,YZUUTMGDONTGTN-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO,-0.534,0.292415238,179.22,174.176,129,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.58,0.263026799,137.14,122.52,247.5,ONSC
UOBYKYZJUGYBDK-UHFFFAOYSA-N,O=C(O)c2ccc1c(cccc1)c2,IDGUHHHQCWSQLU-UHFFFAOYSA-N,CCO.O,-0.572027286,0.2679,172.18,154.128,41.5,ONSC
JZFPYUNJRRFVQU-UHFFFAOYSA-N,FC(F)(F)c1cc(ccc1)Nc2ncccc2C(=O)O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-0.571865206,0.268,282.22,221.256,140,ONSC
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1)C(=O)O,PHTQWCKDNZKARW-UHFFFAOYSA-N,OCCC(C)C,-0.569405181,0.269522371,212.12,161.84,-76,ONSC
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OCCCCCC,-0.568636236,0.27,201.56,151.752,-66.5,ONSC
DFXQXFGFOLXAPO-UHFFFAOYSA-N,O=[N+]([O-])c1cc(ccc1Cl)C(=O)O,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-0.568636236,0.27,201.56,150.576,-66.5,ONSC
GVIJJXMXTUZIOD-UHFFFAOYSA-N,S1c3c(Sc2c1cccc2)cccc3,RYHBNJHYFVUHQT-UHFFFAOYSA-N,O1CCOCC1,-0.568636236,0.27,216.3,179.896,103.5,ONSC
RJKGJBPXVHTNJL-UHFFFAOYSA-N,[O-][N+](=O)c2cccc1ccccc12,QPRQEDXDYOZYLA-UHFFFAOYSA-N,OCC(C)CC,-0.566753123,0.271173269,173.17,150.368,55,ONSC
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OCCCCCC,-0.581698709,0.262,137.14,122.328,247.5,ONSC
FRCCEHPWNOQAEU-UHFFFAOYSA-N,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.59,0.257039578,373.3,238.92,254.6,ONSC
SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.59,0.257039578,175.18,157.36,274,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,UUIQMZJEGPQKFD-UHFFFAOYSA-N,O=C(OC)CCC,-0.589316439,0.257444466,180.16,156.424,287,ONSC
XWALNWXLMVGSFR-HLXURNFRSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.587,0.258821292,300.4,294.88,31.5,ONSC
