Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,Source
RXKNNAKAVAHBNK-UHFFFAOYSA-N,c1c[n+](ccc1[N+](=O)[O-])[O-],YIWUKEYIRIRTPP-UHFFFAOYSA-N,OCC(CC)CCCC,-2.034798299,0.00923,140.1,113.96,ONSC
RXXXPZYBZLDQKP-UHFFFAOYSA-N,S(=O)(=O)(c1ccc(cc1)NC(=O)CCC(=O)O)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.034,0.009246982,272.28,223.84,ONSC
CQEBIGVQAVNPFP-UHFFFAOYSA-N,c1(cc(cs1)C(=O)c2cc(ccc2)CNCC(C)C)S(=O)(=O)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.046,0.008994976,352.5,307.792,ONSC
LETVJWLLIMJADE-UHFFFAOYSA-N,c1cc(nnc1)N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,O=C(OCC)C,-1.480151454,0.033101566,95.1,87.776,ONSC
QMGVPVSNSZLJIA-FVWCLLPLSA-N,O=C7N2c1ccccc1[C@@]64[C@@H]2[C@@H]3[C@@H](OC/C=C5\[C@@H]3C[C@@H]6N(CC4)C5)C7,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-1.932,0.011694994,334.4,293.712,ONSC
IHPDTPWNFBQHEB-UHFFFAOYSA-N,OC(C(O)c1ccccc1)c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.93,0.011748976,214.26,201.664,ONSC
XPOFTPYDSZJRKX-MUBJWYCYSA-N,CC(=O)C35O[C@@H]5C[C@H]2[C@@H]4CCC1=CC(=O)CC[C@]1(C)[C@H]4[C@H](O)C[C@@]23C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.819229449,0.015162491,344.4,322.28,ONSC
SJEBAWHUJDUKQK-UHFFFAOYSA-N,O=C2c1c(cccc1)C(=O)c3c2ccc(c3)CC,NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,-1.818000008,0.015205475,236.26,215.168,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,OCCCCCC,-1.81678911,0.01524793,212.27,177.96,ONSC
UFMJMAPQIWYKER-UHFFFAOYSA-N,C(C(C(OC(=O)C)OC)OC(=O)C)(C(OC(=O)C)COC(=O)C)OC(=O)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.816,0.015275661,392.35,348.312,ONSC
VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-1.815308569,0.0153,272.4,263.376,ONSC
HWHLPVGTWGOCJO-UHFFFAOYSA-N,C(C1CCCCC1)(c2ccccc2)(CCN3CCCCC3)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.815,0.015310875,301.5,309.808,ONSC
RPTHWMGVZGXIPQ-UHFFFAOYSA-N,C(=O)(NCCNC(=O)CCCC)CCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.815,0.015310875,228.33,242.56,ONSC
BBMCTIGTTCKYKF-UHFFFAOYSA-N,OCCCCCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.81,0.015488166,116.2,136.984,ONSC
